access,sql,visio,jira,red mine,word,excel,snagit,rally,sharepoint,ms office suite,oracle,tdp,erwin,edk,wke,res
1,1,1,1,0,0,1,0,0,1,0,1,0,0,4,0,0
1,1,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0
0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0
0,1,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
0,1,1,1,0,0,1,0,0,1,0,1,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0
1,1,1,1,0,0,0,0,0,0,0,1,0,0,4,0,0
0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
0,1,1,1,0,1,1,0,0,1,0,1,0,0,2,0,0
1,1,1,1,0,0,0,0,0,0,0,1,0,0,4,0,0
0,1,1,1,0,1,1,0,1,1,0,1,0,1,3,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,0,0,0,0,0,0,0,1,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,1,0,1,0,0,4,0,0
1,1,1,1,0,0,1,0,0,1,0,1,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,1,1,0,1,0,0,3,1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,0,1
1,1,1,1,0,1,1,1,0,1,0,1,0,1,2,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,1,3,0,1
0,1,1,1,0,1,1,0,1,1,0,1,0,1,2,0,1
1,1,1,0,0,1,1,0,0,1,0,1,0,0,3,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,1,5,0,1
1,1,1,1,0,0,0,0,0,1,0,1,0,0,3,0,1
1,1,1,0,0,0,0,0,0,1,0,1,0,0,4,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
1,1,1,0,0,1,1,0,0,1,0,1,0,0,2,0,1
0,1,1,1,0,1,1,0,0,0,0,0,0,0,3,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,1,4,0,1
0,1,1,0,0,0,1,0,1,1,0,0,1,0,3,0,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,0,4,0,1
1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,0,3,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,1,3,0,1
1,1,1,1,0,1,1,1,1,1,0,1,0,0,3,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,0,0,0,0,1,1,0,1,0,0,4,0,1
1,1,1,0,0,0,1,0,0,1,0,0,0,0,3,0,1
1,1,1,1,0,0,1,0,1,0,0,1,0,0,5,0,1
0,1,1,1,0,0,1,0,0,1,0,1,0,0,2,0,1
0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
1,1,1,0,0,1,1,0,0,1,0,1,0,0,3,0,1
1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,5,0,1
0,1,1,1,0,1,1,0,1,1,0,1,0,0,5,0,1
1,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,1
0,1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1
1,1,1,1,0,0,1,1,0,1,0,1,0,1,3,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,0,2,0,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,2,0,1
1,1,1,1,0,1,1,1,0,1,0,0,0,0,4,0,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,4,0,1
1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,0,1,0,0,1,0,0,2,0,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1
1,1,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1
1,1,1,0,0,1,1,0,0,0,0,1,0,0,3,1,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,2,0,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,4,0,1
1,1,1,1,0,1,1,0,1,1,0,1,0,1,3,0,1
1,1,1,1,0,1,1,0,0,1,0,1,0,0,2,0,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1
1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,1,1,0,1,1,0,0,1,0,1,0,0,4,0,1
